ObjectId,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,CongressUS,SenateCA,AssemblyCA,GlobalID,LLMFunding,CARESFunding,Funding3,lea,county,school_district,school_name,school_code,operational_status,grades,is_50_percent,is_in_person,is_cohort,cohort_grades,district_school_notfound,is_safety_plan,reopening_plan,school_grades_served,operational_status_elem,operational_status_middle,operational_status_high,SHAPE__Area,SHAPE__Length,CreationDate,String2,String1,String3,Double1,email_address,is_reopening,near_term_opening_date,is_reopening_elem,elem_reopening_date,is_reopening_middle,middle_reopening_date,is_reopening_high,high_reopening_date
26,2018-19,0607470,3768007,37680070000000,San Diego,Cardiff Elementary,Elementary,KG,06,49,36,76,34e578d6-8fa9-4b4c-922e-980593f1911b,261932.0,0.0,239079.0,,,,,,,,,No,No,,,Yes,https://www.cardiffschools.com/Page/5074,Elementary,Hybrid,,,11954175.421875,16340.0631504122,1615229657145.0,No,Yes,No,0,emily.horta@cardiffschools.com,,,,,,,,
27,2018-19,0633570,1964931,19649310000000,Los Angeles,Rosemead Elementary,Elementary,KG,08,"27,32",22,49,221757f4-3566-480e-95dc-97661e8149d4,2818581.0,723990.0,2786972.0,,,,,,,,,No,Yes,"Elementary,Middle",,Yes,https://www.rosemead.k12.ca.us/cms/lib/CA01902711/Centricity/Domain/4/Rosemead%20Covid%20Prevention%20Program%20Plan%201.6.21_finalized.pdf,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,11783610.171875,16800.9369149898,1615219626882.0,No,Yes,No,0,aruvalcaba@rosemead.k12.ca.us,No,,Yes,1617048000000.0,No,,,
28,2018-19,0616680,1964592,19645920000000,Los Angeles,Hawthorne,Elementary,KG,12,43,35,62,95cbfcc5-61bf-48f8-b0d2-027574e92808,8945498.0,2598915.0,10129680.0,,,,,,,,,No,No,,,Yes,https://www.hawthorne.k12.ca.us/covid-19,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,14825440.0273438,17122.3596736505,1615304083879.0,No,Yes,No,0,hmorgan@hawthorne.k12.ca.us,No,,Yes,1615838400000.0,Yes,1618430400000.0,No,
29,2018-19,0621990,4469765,44697650000000,Santa Cruz,Live Oak Elementary,Elementary,KG,12,20,17,29,567cd518-d0c2-44a2-8ea9-c0a01558bbc9,1418539.0,281688.0,1117919.0,,,,,0,,,,No,Yes,"Elementary,Middle",,No,,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,12648811.8359375,17131.6976994974,1615498817792.0,Yes,Yes,No,0,lchamberland@losd.ca,Yes,1618430400000.0,Yes,1616443200000.0,Yes,1617825600000.0,,
30,2018-19,0640650,1965078,19650780000000,Los Angeles,Valle Lindo Elementary,Elementary,KG,08,38,"22,32",57,bd63f8c9-b6b6-494e-84e1-d5e207426aa0,1129936.0,158530.0,627284.0,,,,,,,,,No,No,,,Yes,https://www.vallelindo.k12.ca.us/apps/pages/index.jsp?uREC_ID=1192622&type=d&pREC_ID=2133015,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,12439059.7421875,17496.9323350746,1615235011101.0,No,Yes,No,0,mbulgin@sd.vallelindo.k12.ca.us,No,,Yes,1618257600000.0,No,,,
31,2018-19,0601428,1976869,19768690000000,Los Angeles,Wiseburn Unified,Unified,KG,12,"33,43","26,35",62,8889e237-cec0-484c-b15b-4cf7d882c110,1455516.0,241403.0,860706.0,,,,,,,,,No,No,,,Yes,www.wiseburn.org,"Elementary,Middle",Hybrid,Distance Learning Only,,14587530.9296875,17587.7320168038,1615164915190.0,No,Yes,No,0,ndugal@wiseburn.org,No,,,,No,,,
32,2018-19,0600025,1975333,19753330000000,Los Angeles,Manhattan Beach Unified,Unified,KG,12,33,26,66,23e29208-7eb7-468c-afc2-f0715df8b54c,3049163.0,110751.0,439533.0,,,,,,,,,No,No,,,Yes,https://www.mbusd.org/apps/pages/index.jsp?uREC_ID=1774841&type=d&pREC_ID=2139631,"Elementary,Middle,High",Hybrid,Distance Learning Only,Distance Learning Only,14851197.8007813,18134.3486181003,1614718462277.0,No,Yes,No,0,,,,,,,,,
33,2018-19,0621210,1964691,19646910000000,Los Angeles,Lawndale Elementary,Elementary,KG,12,43,35,"62,66",8666b9b4-bd24-4c08-adc7-91d309fa66d2,6086730.0,1338792.0,5313186.0,,,,,,,,,No,No,,,Yes,https://www.lawndale.k12.ca.us/scr,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,13811916.1367188,18259.4759681266,1615219057597.0,No,Yes,No,0,gretchen_janson@lawndalesd.net,No,,No,,No,,,
34,2018-19,0638980,1965052,19650520000000,Los Angeles,Temple City Unified,Unified,KG,12,27,22,49,5fddce09-a6c4-43ad-b694-770d20b3a733,3208702.0,697495.0,2768109.0,,,,,,,,,No,Yes,"Elementary,Middle,High",,Yes,www.tcusd.net,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,13765859.125,18298.0641176792,1615222389969.0,No,Yes,No,0,m.gomez@tcusd.net,No,,Yes,1617652800000.0,No,,No,
35,2018-19,0615810,5071084,50710840000000,Stanislaus,Gratton Elementary,Elementary,KG,08,10,08,12,4f4bcc79-a7dc-417c-aaff-bd50063522a8,8178.0,13682.0,76278.0,,,,,,,,,Yes,,,,Yes,"www,grattonschool.net","Elementary,Middle",In-Person,In-Person,,20868249.84375,18355.3927214182,1615223893094.0,Yes,Yes,No,0,wwilliams@grattonschool.net,,,,,,,,
36,2018-19,0621930,1964717,19647170000000,Los Angeles,Little Lake City Elementary,Elementary,KG,08,38,32,"57,58",943347e7-9fb3-47ed-b117-c3153bfcc592,4073005.0,476526.0,1891157.0,,,,,,,,,No,No,,,No,,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,20342477.796875,18676.7996488878,1615223774683.0,No,Yes,No,0,lhernandez@llcsd.net,No,,No,,No,,,
37,2018-19,0637560,1965037,19650370000000,Los Angeles,South Whittier Elementary,Elementary,KG,08,38,32,57,d34a5b86-1d8b-4078-81f6-b8171c08bed7,3582454.0,986329.0,3882787.0,,,,,,,,,No,No,,,Yes,"https://www.swhittier.k12.ca.us/
https://www.swhittier.k12.ca.us/apps/pages/index.jsp?uREC_ID=1678741&type=d&pREC_ID=1831337","Elementary,Middle",Distance Learning Only,Distance Learning Only,,15408104.5585938,18852.2617948816,1615218459494.0,No,Yes,No,0,mrojas@swhittier.net,No,,No,,No,,,
38,2018-19,0622890,1964758,19647580000000,Los Angeles,Los Nietos,Elementary,KG,08,38,32,"57,58",1c46c1bd-96f8-409d-a369-1ace456c58fa,2061600.0,352364.0,1398405.0,,,,,,,,,No,No,,,No,,Elementary,Distance Learning Only,,,13203914.78125,18921.2826078601,1614096882056.0,No,Yes,No,0,,,,,,,,,
39,2018-19,0623430,3066589,30665890000000,Orange,Magnolia Elementary,Elementary,KG,06,"39,46,47","29,32",65,30a6c659-61f5-4d64-b643-36b2822b6dff,6911385.0,1546520.0,6137586.0,,,,,,,,,No,No,,,Yes,https://www.magnoliasd.org/apps/pages/index.jsp?uREC_ID=1756876&type=d&pREC_ID=2153088,Elementary,Distance Learning Only,,,19667666.1796875,19996.7385687762,1615220034812.0,No,Yes,No,0,ahouser@magnoliasd.org,Yes,1618257600000.0,Yes,1618257600000.0,,,,
40,2018-19,0601680,3166761,31667610000000,Placer,Ackerman Charter,Elementary,KG,08,"01,04",01,"01,05",507647ad-c6c0-469f-90f9-c59142473b10,269591.0,20459.0,113410.0,,,,,,,,,No,Yes,"Elementary,Middle",,Yes,https://www.ackerman.k12.ca.us/home,"Elementary,Middle",Hybrid,Hybrid,,18731030.7304688,20095.278464883,1615221384592.0,Yes,Yes,No,0,kgraham@ackerman.k12.ca.us,,,,,,,,
41,2018-19,0602220,5471811,54718110000000,Tulare,Alta Vista Elementary,Elementary,KG,08,23,"14,16",26,48e0c60e-2bdb-46e0-a411-c3e84ea317d2,650695.0,301130.0,1314965.0,,,,,,,,,No,Yes,Elementary,,Yes,altavistaesd.org,Elementary,Distance Learning Only,,,23677123.3164063,20730.7436484584,1612900607496.0,No,Yes,No,0,,,,,,,,,
42,2018-19,0628530,1062331,10623310000000,Fresno,Orange Center,Elementary,KG,12,"16,21","12,14",31,cb356932-7b16-450d-bba3-dac480f31db0,463898.0,184978.0,745350.0,,,,,,,,,No,No,,,Yes,https://orange.socs.net/vimages/shared/vnews/stories/5f90b56d6b162/OC%20COVID-19%20Safety%20Plan.pdf,"Elementary,Middle",Hybrid,Hybrid,,21604200.546875,21052.5861064388,1615220781501.0,No,Yes,No,0,thirschfield@orangecenter.org,,,,,,,,
43,2018-19,0604110,1964295,19642950000000,Los Angeles,Bassett Unified,Unified,KG,12,32,22,"48,57",4a35f854-bb6d-4692-ac2a-8586c6eb14fd,4690940.0,1045871.0,4150672.0,,,,,,,,,No,No,,,Yes,https://www.bassettusd.org/apps/pages/index.jsp?uREC_ID=1184756&type=d&pREC_ID=2153116,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,13428819.90625,21461.4078873823,1615600366153.0,Yes,Yes,No,0,aalvarez@bassettusd.org,No,,Yes,1617048000000.0,No,,No,
44,2018-19,0608190,1964378,19643780000000,Los Angeles,Charter Oak Unified,Unified,KG,12,"27,32","22,25","41,48",e997ed58-8eb7-4702-979f-bee00aec59b5,3655404.0,685007.0,2682261.0,,,,,,,,,No,Yes,"Elementary,Middle,High",,No,,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,22116479.984375,21517.8595936296,1615224234908.0,No,Yes,No,0,mthompson@cousd.net,Yes,1619467200000.0,Yes,1617739200000.0,Yes,1618862400000.0,Yes,1618862400000.0
45,2018-19,0607140,4369385,43693850000000,Santa Clara,Cambrian,Elementary,KG,08,"18,19",15,28,fab0f758-24ea-44fe-8a30-5b7f85a11a47,428690.0,85195.0,290096.0,,,,,,,,,No,Yes,"Elementary,Middle",,Yes,https://www.cambriansd.org/,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,17206873.7929688,21550.2258553295,1615219375301.0,Yes,Yes,No,0,nguyenl@cambriansd.com,Yes,1616443200000.0,Yes,1615838400000.0,Yes,1616443200000.0,,
46,2018-19,0603720,4269104,42691040000000,Santa Barbara,Ballard Elementary,Elementary,KG,06,24,19,37,a0ff520e-7e08-4f2d-9e94-95f84d2d7bec,44438.0,0.0,42910.0,,,,,,,,,No,No,,,Yes,http://ballardschool.org/Library/document/COVID%2019%20Prevention%20Program.pdf,Elementary,Hybrid,,,24955439.4609375,21678.1862022202,1612822079658.0,No,Yes,No,0,,,,,,,,,
47,2018-19,0608850,1062109,10621090000000,Fresno,Clay Joint Elementary,Elementary,KG,08,"21,22","12,14","26,31",3f60d770-35e2-48d4-a96d-945f1d8cfaad,79265.0,27523.0,104153.0,,,,,,,,,Yes,No,,,Yes,https://www.clayschool.k12.ca.us/,Elementary Middle,In-Person,Hybrid,,21196692.6796875,21679.4499963199,1614009553722.0,Yes,Yes,No,0,,,,,,,,,
48,2018-19,0602370,1061994,10619940000000,Fresno,Alvina Elementary,Elementary,KG,08,21,12,31,d1b498a2-ed10-4bba-988f-56f885c32b96,209603.0,50485.0,182017.0,,,,,,,,,Yes,,,,Yes,www.alvinaelementaryschool.org,"Elementary,Middle",Hybrid,Hybrid,,28110688.5625,22070.8306932503,1615228341141.0,Yes,Yes,No,0,mwillis@alvinaesd.org,,,,,,,,
49,2018-19,0608700,4970649,49706490000000,Sonoma,Cinnabar Elementary,Elementary,KG,08,02,"02,03",10,bdab25b5-f204-4026-87f8-5892387dd6b8,21143.0,32656.0,119376.0,,,,,,,,,No,No,,,Yes,www.cinnabar.org,Elementary Middle,Distance Learning Only,Distance Learning Only,,10487717.6992188,22449.7861982387,1612891572875.0,No,Yes,No,0,,,,,,,,,
50,2018-19,0607950,3667645,36676450000000,San Bernardino,Central Elementary,Elementary,KG,08,31,23,40,dd372529-7552-4c80-98f6-474764527791,3654518.0,729125.0,2893640.0,,,,,,,,,No,No,,,Yes,https://csd-ca.schoolloop.com/file/1537514646818/1593847817208/6453724146558991277.pdf,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,21377488.34375,22565.5056078237,1615222157873.0,No,Yes,No,0,Atello@csd.k12.ca.us,Yes,1618257600000.0,Yes,1617652800000.0,Yes,1618257600000.0,,
51,2018-19,0614940,1964550,19645500000000,Los Angeles,Garvey Elementary,Elementary,KG,08,"27,38",22,49,6ff8ed27-71af-4662-aca6-de4ec780b3fe,5137448.0,1961960.0,7786321.0,,,,,,,,,No,No,,,No,,Elementary Middle,Distance Learning Only,Distance Learning Only,,17397017.5234375,23025.3835657109,1614042761831.0,No,Yes,No,0,,,,,,,,,
52,2018-19,0609270,4269161,42691610000000,Santa Barbara,Cold Spring Elementary,Elementary,KG,06,24,19,37,f39fa92e-9b81-43a7-80e5-a7d4eee7683a,58713.0,10431.0,41394.0,,,,,,,,,Yes,,,,Yes,https://coldspringschool.net/re-entry-school-plan,Elementary,In-Person,,,14527684.9921875,23260.63606888,1615222411163.0,Yes,Yes,No,0,ycalderon@coldspringschool.net,,,,,,,,
53,2018-19,0643200,4971035,49710350000000,Sonoma,Wright Elementary,Elementary,KG,08,05,02,10,147739cf-d075-4387-a377-883c5352a528,1038341.0,223590.0,887344.0,,,,,,,,,No,No,,,No,,Elementary Middle,Distance Learning Only,Distance Learning Only,,23196211.9414063,23316.7157217487,1614017117512.0,No,Yes,No,0,,,,,,,,,
54,2018-19,0607350,0761671,07616710000000,Contra Costa,Canyon Elementary,Elementary,KG,08,11,07,16,5b7d0e2f-e7f5-49c7-b74a-f2b97841acb4,20663.0,0.0,0.0,,,,,,,,,No,No,,,Yes,canyon.k12.ca.us,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,14876099.1171875,23413.2463488906,1614641877681.0,No,Yes,No,0,,,,,,,,,
55,2018-19,0634425,1975291,19752910000000,Los Angeles,San Gabriel Unified,Unified,KG,12,27,22,49,3adc2a09-eae0-419b-ab30-115d9a2c6b85,3908589.0,1010081.0,3969031.0,,,,,,,,,No,Yes,"Elementary,Middle,High",,Yes,https://www.sgusd.k12.ca.us/,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,17516976.9492188,23886.2649421416,1615223594763.0,No,Yes,No,0,wong_w@sgusd.k12.ca.us,No,,Yes,1617739200000.0,No,,Yes,1618862400000.0
56,2018-19,0626400,4369617,43696170000000,Santa Clara,Mount Pleasant Elementary,Elementary,KG,08,19,15,"25,27",87ffca88-552e-4207-b423-395b67194fa5,1919905.0,370920.0,1312958.0,,,,,,,,,No,Yes,"Elementary,Middle",,Yes,https://www.mpesd.org/domain/3331,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,25140064.9414063,23995.1975916246,1615240114418.0,Yes,Yes,No,0,jgonzalez@mpesd.org,No,,No,,No,,,
57,2018-19,0600035,5475325,54753250000000,Tulare,Farmersville Unified,Unified,KG,12,22,"14,16",26,46338584-245e-4ecf-9711-976955fef7ea,2989784.0,1261534.0,4910311.0,,,,,,,,,Yes,,,,Yes,www.farmersville.k12.ca.us,"Elementary,Middle,High",Hybrid,Distance Learning Only,Distance Learning Only,23291547.8632813,24042.6265378813,1615221505951.0,Yes,Yes,No,0,psevillano@farmersville.k12.ca.us,No,,,,No,,No,
58,2018-19,0634860,1964964,19649640000000,Los Angeles,San Marino Unified,Unified,KG,12,27,"22,25","41,49",7984868f-32a4-4a6c-9e6a-3bed97151f6b,1103548.0,254873.0,1011500.0,,,,,,,,,No,No,,,Yes,www.smusd.us ,"Elementary,Middle,High",Hybrid,Distance Learning Only,Distance Learning Only,15749699.1640625,24115.2058684331,1615219376074.0,No,Yes,No,0,Lrichter@smusd.us,No,,,,No,,No,
59,2018-19,0623160,1964774,19647740000000,Los Angeles,Lynwood Unified,Unified,KG,12,44,33,63,c42e60da-27d5-4985-aa3d-0f1c7d9c4a2a,17884760.0,4669807.0,18509830.0,,,,,,Triaged Non-registered,,,No,Yes,Elementary,,Yes,https://www.lynwood.k12.ca.us/,Elementary Middle High,Distance Learning Only,Distance Learning Only,Distance Learning Only,17820921.84375,24264.335674404,1614125571069.0,No,Yes,No,0,,,,,,,,,
60,2018-19,0614220,3066498,30664980000000,Orange,Fountain Valley Elementary,Elementary,KG,08,48,"34,37","72,74",dd04c530-decf-47b0-97fb-34ab92373a45,2869469.0,370143.0,1468824.0,,,,,,,,,No,Yes,"Elementary,Middle",,Yes,https://www.fvsd.us/apps/pages/index.jsp?uREC_ID=1779976&type=d&pREC_ID=2140599,"Elementary,Middle",Hybrid,Hybrid,,28988796.90625,24300.4143122031,1615223731137.0,No,Yes,No,0,gargusj@fvsd.us,,,,,,,,
61,2018-19,0626190,1964816,19648160000000,Los Angeles,Mountain View Elementary,Elementary,KG,08,"32,38",22,"48,49,57",aa0995ba-6514-44c3-b419-22b50cd783e6,8178065.0,2816444.0,11177462.0,,,,,,,,,No,No,,,Yes,https://mtviewschools.com/departments/superintendent/coronavirus_information,Elementary Middle,Distance Learning Only,Distance Learning Only,,18355919.9257813,24496.7249170885,1614117488117.0,No,Yes,No,0,,,,,,,,,
62,2018-19,0613740,1262794,12627940000000,Humboldt,Fieldbrook Elementary,Elementary,KG,08,02,02,02,e4fad2f6-2619-40b9-948a-4e17c7026964,89848.0,20303.0,76772.0,,,,,,,,,Yes,,,,Yes,https://4.files.edl.io/938e/01/25/21/200747-af09fdcd-10bb-456c-b553-762d6a4b71db.pdf,"Elementary,Middle",In-Person,Hybrid,,38049665.625,24754.6670905526,1615586164660.0,Yes,Yes,No,0,jwallace@fbk8.org,,,,,,,,
