ObjectId_1,CDSCode,FederalSchoolID,FederalCharterDistrictID,County,District,School,Status,OpenDate,ClosedDate,Charter,CharterNumber,FundingType,EducationalOptionsType,EntityType,LowGrade,HighGrade,VirtualInstructionType,Magnet,YearRound,Public_,Multilingual,LastUpdate,StreetAddress,StreetCity,StreetState,StreetZip,MailingAddress,MailingCity,MailingState,MailingZip,Phone,PhoneExtension,FaxNumber,AdministratorName,AdministratorPhone,Latitude,Longitude,AdministratorPhoneExt,Email,AdministratorEmail,Website,ObjectId,x,y,GlobalID,LLMFunding,CARESFunding,Funding3,String1,String2,String3,String4,String5,Double1,Double2,Double3,Double4,Double5,Date1,Date2,Date3,Date4,Date5,lea,school_district,school_name,school_code,operational_status,grades,is_50_percent,is_in_person,is_cohort,cohort_grades,district_school_notfound,is_safety_plan,reopening_plan,school_grades_served,operational_status_elem,operational_status_middle,operational_status_high,CreationDate,email_address,is_reopening,near_term_opening_date,is_reopening_elem,elem_reopening_date,is_reopening_middle,middle_reopening_date,is_reopening_high,high_reopening_date
22,19644446934715,19644446934715,,Los Angeles,Culver City Unified,ECF KAYNE ERAS CENTER,Active,331282800000,,N,,,Nonpublic Nonsectarian Certified School,K-12 Schools (Private),K,12,,,N,N,,1609228800000,5350 Machado Rd,Culver City,CA,90230-0230,5350 Machado Rd,Culver City,CA,90230-0230,(310) 737-9393,,,George Woods,,33.99784,-118.396726,,gwoods@ecf.net,isalinas@ecf.net,,,-118.396726,33.99784,1baeacda-d8d2-42db-88a7-04a6f33699d2,,,,Yes,Yes,,,,,,,,,,,,,,Private,,ECF KAYNE ERAS CENTER,,,"K,1,2,3,4,5,6,7,8,9,10,11,12",,,No,,,Yes,https://kayneerasschool.org/parents-corner/important-announcements/,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,1615220054181.0,gwoods@ecf.net,No,,No,,No,,No,
23,15737426974133,15737426974133,,Kern,Sierra Sands Unified,RIDGECREST ADVENTIST ELEMENTARY,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609228800000,555 West Las Flores Ave,Ridgecrest,CA,93555-3401,555 West Las Flores Ave,Ridgecrest,CA,93555-3401,(760) 375-8673,,,Dyan Frohlich,,35.62906,-117.681205,,raelementary@gmail.com,raelementary@gmail.com,,,-117.681205,35.62906,b1be5470-f49f-474c-a281-7a21aa2182be,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30736506151237,30736506151237,,Orange,Irvine Unified,MILESTONES MONTESSORI OF IRVINE,Active,1463727600000,,N,,,,Elementary School (Private),K,3,,,N,N,,1603177200000,16601 Armstrong Ave,Irvine,CA,92606-4909,16601 Armstrong Ave,Irvine,CA,92606-4909,(949) 553-0555,,,Kristel Golden,,33.70014,-117.838179,,info@milestonesmontessori.com,kristel@milestonesmontessori.com,,,-117.838179,33.70014,56a6b39a-57bf-4877-8155-bf89bf4c8159,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,"TK,K,1,2",,Yes,,,,Yes,http://www.milestonesmontessori.com/wp-content/uploads/2020/09/MMI-Updated-Policy-and-Procedure.pdf,Elementary,In-Person,,,1615317298143.0,kristel@milestonesmontessori.com,,,,,,,,
25,7617966918619,07617966918619,,Contra Costa,West Contra Costa Unified,EAST BAY WALDORF SCHOOL,Active,331282800000,,N,,,,K-12 Schools (Private),K,8,,,N,N,,1588748400000,3800 Clark Rd,El Sobrante,CA,94803-3145,3800 Clark Rd,El Sobrante,CA,94803-3145,(510) 222-3297,,,Maria Ramirez,,37.962555,-122.302058,,maria@eastbaywaldorf.org,maria@eastbaywaldorf.org,,,-122.302058,37.962555,30a848dd-cad4-4251-90ba-6a1a2186e83a,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13630736970685,13630736970685,,Imperial,Brawley Elementary,SACRED HEART SCHOOL,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609315200000,428 S Imperial Ave,Brawley,CA,92227-2534,428 S Imperial Ave,Brawley,CA,92227-2534,(760) 344-2662,,,Annalisa Burgos,,32.974645,-115.534569,,office@sacredheartschoolbrawley.org,principal@sacredheartschoolbrawley.org,,,-115.534569,32.974645,10c832b6-3a4d-44bf-b556-387b826439c5,,,,Yes,Yes,,,,,,,,,,,,,,Private,,SACRED HEART SCHOOL,,,"TK,K,1,2,3,4,5,6,7,8",,,,,,Yes,"https://docs.google.com/document/d/1n1VV_YgXyeoSVjU1V6_Z-l-rckDhb-z2fXZ2tauHQBg/edit?usp=sharing


www.sacredheartschoolbrawley.org ","Elementary,Middle",In-Person,In-Person,,1615234468661.0,office@sacredheartschoolbrawley.org,,,,,,,,
27,7617546135610,07617546135610,,Contra Costa,Mt Diablo Unified,HOPE ACADEMY FOR DYSLEXICS,Active,1240902000000,,N,,,,Elementary School (Private),3,8,,,N,N,,1603090800000,5353 Concord Blvd,Concord,CA,94521-2318,5353 Concord Blvd,Concord,CA,94521-2318,(925) 687-7555,,,Steve Ahonen,,37.957713,-121.951672,,hope4dyslexics@gmail.com,sahonen@hopeacademyconcord.org,,,-121.951672,37.957713,08fd16c6-1002-4e9d-9213-44831f170e6e,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30666216965198,30666216965198,,Orange,Orange Unified,CHRIST CATHEDRAL ACADEMY,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1604390400000,13280 Chapman Ave,Garden Grove,CA,92840-4414,13280 Chapman Ave,Garden Grove,CA,92840-4414,(714) 663-2330,,,Julianna Tapia,,33.78838,-117.900884,,administrator@ccaorange.com,jtapia@ccaorange.com,,,-117.900884,33.78838,6582c47c-c32e-4d96-bdfe-6d211da7b63d,,,,Yes,Yes,,,,,,,,,,,,,,Private,,CHRIST CATHEDRAL ACADEMY,,,"TK,K,1,2,3,4,5,6,7,8",,,,,,Yes,https://christcathedralacademy.org/,"Elementary,Middle",In-Person,In-Person,,1615221242384.0,jtapia@ccaorange.com,,,,,,,,
29,30736436138358,30736436138358,,Orange,Tustin Unified,FOOTHILL MONTESSORI SCHOOL,Active,1262678400000,,N,,,,Elementary School (Private),K,3,,,N,N,,1609228800000,18692 East 17th St,Santa Ana,CA,92705-2700,18692 East  17Th St,Santa Ana,CA,92705,(714) 731-5653,,,Jarnail Mudan,,33.75897,-117.806875,,mudan@sbcglobal.net,mudan@sbcglobal.net,,,-117.806875,33.75897,16b21dc7-0bab-43f2-b916-7935246b9696,,,,Yes,Yes,,,,,,,,,,,,,,Private,,FOOTHILL MONTESSORI SCHOOL,,,"TK,K,1",,,,,,Yes,www.foothillmontessorischool.com,Elementary,In-Person,,,1615235497384.0,Info@foothillmontessorischool.com,,,,,,,,
30,10621257090285,10621257090285,,Fresno,Coalinga-Huron Unified,FAITH CHRISTIAN ACADEMY,Active,331282800000,,N,,,,K-12 Schools (Private),K,12,,,N,N,,1607414400000,450 W Elm & 520 Monroe St,Coalinga,CA,93210,450 W Elm,Coalinga,CA,93210,(559) 935-9209,,,Tara Davis,,33.900462,-118.231963,,caroldonaldson@fcacoalinga.com,taradavis@fcacoalinga.com,,,-118.231963,33.900462,32d5c07c-92d8-4820-91cd-e246ad4fbe28,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,19644366159370,19644366159370,,Los Angeles,Covina-Valley Unified,LITTLE COLLABORATORS,Active,1573200000000,,N,,,,K-12 Schools (Private),K,12,,,N,N,,1573804800000,154 North Grand Ave Space #A2,West Covina,CA,91791-1735,154 North Grand Ave Space  #A2,West Covina,CA,91791,(626) 343-0195,,,Faby Manzo,,34.073953,-117.870657,,diamondfayala@gmail.com,diamondfayala@gmail.com,,,-117.870657,34.073953,537eef27-4049-46dc-b5bd-e6e4db143b4b,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12628936921019,12628936921019,,Humboldt,Jacoby Creek Elementary,MISTWOOD EDUCATIONAL CENTER,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609228800000,1928 Old Arcata Rd,Bayside,CA,95524-9361,1928 Old Arcata Rd,Bayside,CA,95524-9361,(707) 826-1150,,,Rebecca Nordquist,,40.841956,-124.063607,,mistwoodeducationalcenter@gmail.com,mistwoodeducationalcenter@gmail.com,,,-124.063607,40.841956,9b53412a-654d-4839-8c7f-799618711636,,,,Yes,No,,,,,,,,,,,,,,Private,,MISTWOOD EDUCATIONAL CENTER,,,"K,2,3,4,6,7,8",,No,No,,,Yes,www.mistwoodvillage.org,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,1615261403031.0,mistwoodeducationalcenter@mistwoodvillage.org,Yes,1616443200000.0,Yes,1616443200000.0,Yes,1616443200000.0,,
33,7618126967707,07618126967707,,Contra Costa,Walnut Creek Elementary,ST MARY OF THE IMMACULATE CONCEPTION,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609315200000,1158 Bont Ln,Walnut Creek,CA,94596-4406,1158 Bont Ln,Walnut Creek,CA,94596-4406,(925) 935-5054,,,Garrett Padia,,37.89555,-122.068329,,stmary@st-mary.net,gpadia@csdo.org,,,-122.068329,37.89555,90e7172b-75d0-433e-bb07-83ad21391390,,,,Yes,Yes,,,,,,,,,,,,,,Private,,ST MARY OF THE IMMACULATE CONCEPTION,,,"TK,K,1,2,3,4,5,6,7,8",,No,No,,,Yes,https://st-mary.net/,"Elementary,Middle",Hybrid,Hybrid,,1615251243961.0,gpadia@csdo.org,,,,,,,,
34,7617966933493,07617966933493,,Contra Costa,West Contra Costa Unified,SALESIAN HIGH SCHOOL D/B/A SALESIAN COLLEGE PREPARATORY,Active,331282800000,,N,,,,High Schools (Private),9,12,,,N,N,,1609228800000,2851 Salesian Ave,Richmond,CA,94804-1025,2851 Salesian Ave,Richmond,CA,94804-1025,(510) 234-4433,,,Marylou Flannery,,37.952879,-122.340972,,mflannery@salesian.com,mflannery@salesian.com,,,-122.340972,37.952879,ede3f4bf-0b4f-45ae-a0da-1212bd6fda7e,,,,Yes,Yes,,,,,,,,,,,,,,Private,,SALESIAN HIGH SCHOOL D/B/A SALESIAN COLLEGE PREPARATORY,,,"9,10,11,12",,Yes,,,,Yes,www.salesian.com,High,,,Hybrid,1616011681726.0,mflannery@salesian.com,,,,,,,,
35,7617540133249,07617540133249,,Contra Costa,Mt Diablo Unified,WELLSPRING EDUCATIONAL SERVICES INC,Active,1441436400000,,N,,,Nonpublic Nonsectarian Certified School,Elementary School (Private),K,12,,,N,N,,1609228800000,1543 Sunnyvale Ave,Walnut Creek,CA,94597-1903,1543 Sunnyvale Ave,Walnut Creek,CA,94597-1903,(925) 295-3080,,,Dana Sassone,(925) 408-4028,37.928265,-122.06344,,office@wellspringeducation.org,dana@wellspringeducation.org,www.wellspringeducation.org,,-122.06344,37.928265,e4bf16e5-5c48-440f-930e-c438934ec0dc,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
